p,q,r,A1,L1,A2,L2,A3,L3
4,6,6,0.776790445,609,0.824794773,621,0.860668653,630
4,7,6,0.723464618,611,0.897878732,621,0.790956599,629
4,8,6,0.616844413,611,0.939724372,621,0.702049031,628
4,9,6,0.536488856,612,0.961626807,621,0.585239442,627
4,2,7,0.874100018,598,0.193888302,621,0.862634475,644
4,3,7,0.882882154,603,0.296238117,621,0.895909784,638
4,4,7,0.940645715,606,0.428211618,621,0.921756928,634
4,5,7,0.919386795,609,0.57653656,621,0.92821565,631
4,6,7,0.857833825,611,0.716957991,621,0.913724601,629
4,7,7,0.851985745,612,0.827052381,621,0.844226103,628
4,8,7,0.748979291,613,0.899295398,621,0.791826059,627
4,9,7,0.652534682,613,0.94048718,621,0.748607185,626
4,2,8,0.916426078,598,0.122750149,621,0.849736479,644
4,3,8,0.940133155,603,0.195251816,621,0.889638546,638
4,4,8,0.917640466,607,0.298716325,621,0.900792452,633
4,5,8,0.928254258,609,0.432278704,621,0.91603941,630
4,6,8,0.919807878,611,0.582183404,621,0.931245088,628
4,7,8,0.880253305,613,0.723272698,621,0.911002193,627
4,8,8,0.818065355,614,0.832673289,621,0.872595813,626
4,9,8,0.758807999,614,0.903405368,621,0.850018191,625
5,2,2,0.717295513,589,0.627688019,622,0.695777381,654
5,3,2,0.571940115,593,0.741668086,621,0.571991147,650
5,4,2,0.501560908,595,0.831654383,621,0.477195006,647
5,5,2,0.316004425,597,0.890671334,621,0.370558135,645
5,6,2,0.222256579,597,0.926647964,621,0.261163016,644
5,7,2,0.17760064,598,0.947838167,621,0.180203336,643
5,8,2,0.106782086,598,0.960180213,621,0.12242244,643
5,9,2,0.075539081,599,0.96736336,621,0.078898529,642
5,2,3,0.737029718,592,0.513623763,621,0.787679155,650
5,3,3,0.67494954,597,0.647372979,621,0.731302432,645
5,4,3,0.592549999,599,0.759631795,621,0.597457129,642
5,5,3,0.489974439,601,0.841487632,621,0.468186327,640
5,6,3,0.354146243,602,0.895368043,621,0.348841253,638
5,7,3,0.248257084,603,0.928711257,621,0.244920622,638
5,8,3,0.167659088,603,0.948712536,621,0.185409709,637
5,9,3,0.106105455,604,0.960552021,621,0.130772264,637
5,2,4,0.875108108,595,0.394335656,621,0.870103843,647
5,3,4,0.811527246,599,0.529325231,621,0.815949202,642
